文件编号,点数,三角形数,边数,计算耗时(毫秒)
1,39,64,192,5
2,49,85,255,2
3,21,33,99,1
4,28,45,135,4
5,34,57,171,1
6,45,80,240,1
7,26,41,123,1
8,21,32,96,0
9,27,41,123,1
10,22,36,108,0
文件编号,点数,三角形数,边数,计算耗时(毫秒)
1,39,64,192,1
2,49,85,255,1
3,21,33,99,0
4,28,45,135,1
5,34,57,171,1
6,45,80,240,1
7,26,41,123,1
8,21,32,96,1
9,27,41,123,1
10,22,36,108,1
文件编号,点数,三角形数,边数,计算耗时(毫秒)
1,39,64,192,1
2,49,85,255,1
3,21,33,99,1
4,28,45,135,1
5,34,57,171,1
6,45,80,240,1
7,26,41,123,1
8,21,32,96,1
9,27,41,123,1
10,22,36,108,0
文件编号,点数,三角形数,边数,计算耗时(毫秒)
1,20,29,87,0
2,30,48,144,1
3,40,69,207,1
4,50,86,258,2
5,60,107,321,2
6,70,123,369,3
7,80,149,447,4
8,90,166,498,4
9,100,181,543,4
10,110,202,606,5
文件编号,点数,三角形数,边数,计算耗时(毫秒)
1,20,29,87,0
2,30,48,144,1
3,40,69,207,1
4,50,86,258,2
5,60,107,321,2
6,70,123,369,3
7,80,149,447,4
8,90,166,498,4
9,100,181,543,6
10,110,202,606,5
